File,Sheet,Code,Variable,Year,Old_Value,New_Value,Change,Source
Real_Data.csv,Real_Data,NMGS,Nominal imports of G&S,2022,4154590664.9999995,7456000000,3301409335.0000005,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Real_Data.csv,Real_Data,NMGS,Nominal imports of G&S,2023,4020170723,8249000000,4228829277.0,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Real_Data.csv,Real_Data,NMGS,Nominal imports of G&S,2024,11861000000,9124000000,-2737000000.0,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Source_Data_Long.csv,Source_Data_Long,NGDP,Nominal GDP,2019,8656000000,8723000000,67000000.0,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Source_Data_Long.csv,Source_Data_Long,NGDP,Nominal GDP,2020,8628000000,8705000000,77000000.0,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Source_Data_Long.csv,Source_Data_Long,NGDP,Nominal GDP,2021,9483000000,9570000000,87000000.0,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Source_Data_Long.csv,Source_Data_Long,NGDP,Nominal GDP,2022,10203000000,10301000000,98000000.0,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Source_Data_Long.csv,Source_Data_Long,NGDP,Nominal GDP,2023,10958000000,11317000000,359000000.0,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Source_Data_Long.csv,Source_Data_Long,NGDP,Nominal GDP,2024,11967000000,12348000000,381000000.0,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Source_Data_Long.csv,Source_Data_Long,RGDP,Real GDP,2019,7926418061.751352,9947000000,2020581938.2486477,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Source_Data_Long.csv,Source_Data_Long,RGDP,Real GDP,2020,7707287719.385974,9681000000,1973712280.614026,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Source_Data_Long.csv,Source_Data_Long,RGDP,Real GDP,2021,7972973226.063412,10020000000,2047026773.9365883,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Source_Data_Long.csv,Source_Data_Long,RGDP,Real GDP,2022,8189695542.688511,10300000000,2110304457.311489,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Source_Data_Long.csv,Source_Data_Long,RGDP,Real GDP,2023,8531635197.808113,10731000000,2199364802.191887,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
Source_Data_Long.csv,Source_Data_Long,RGDP,Real GDP,2024,8882404280.64207,11164000000,2281595719.357929,"SNBS Somalia GDP Statistical Release 2025, Tables 1 and 3, up to 2024"
